,Mean,Median,Mode,MidRange,Range,IQR,StdDev,FileName
44,0.45231557,0.33594775,0.2509804,0.54444444,0.717647,0.4143791,0.21957345,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-022-180.png
45,0.45122984,0.36993465,0.3019608,0.5333333,0.75294113,0.2535948,0.18217054,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-022-270.png
46,0.4309955,0.3764706,0.36862746,0.55228764,0.6575164,0.14771241,0.13897327,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-035-045.png
47,0.46319765,0.351634,0.3398693,0.5254902,0.7372549,0.34901962,0.20064338,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-035-135.png
48,0.47373173,0.3529412,0.3398693,0.548366,0.69411767,0.36862746,0.20933123,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-035-225.png
49,0.43777323,0.37254906,0.3633987,0.54640526,0.74771243,0.1738562,0.15409623,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-035-315.png
50,0.44855338,0.3934641,0.3764706,0.5692811,0.7202615,0.15424839,0.13507561,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-045-000.png
51,0.46009016,0.4013072,0.40261438,0.54575163,0.69673204,0.17647061,0.15624152,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-045-090.png
52,0.48115087,0.3281046,0.30980393,0.52156866,0.7738563,0.42091504,0.22878592,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-045-180.png
53,0.48256555,0.40653595,0.40784314,0.5588235,0.7019608,0.23267972,0.1741564,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-045-270.png
54,0.45571953,0.43267977,0.34509805,0.5104576,0.8692811,0.15294114,0.1324711,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-066-027.png
55,0.43035933,0.41045752,0.2901961,0.503268,0.84705883,0.18039215,0.15065981,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-066-063.png
56,0.4537574,0.39869285,0.2535948,0.4751634,0.85882354,0.35555556,0.20136239,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-066-117.png
57,0.4688912,0.3503268,0.25490198,0.47647062,0.8745099,0.45620915,0.23275343,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-066-153.png
58,0.48058072,0.36862746,0.25751635,0.48954248,0.88235295,0.46013072,0.23359314,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-066-207.png
59,0.4790362,0.42222223,0.25751635,0.49869284,0.8692811,0.39084962,0.21285081,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-066-243.png
60,0.4211805,0.3869281,0.25751635,0.48496732,0.8522876,0.24705884,0.17509387,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-066-297.png
61,0.45157012,0.4248366,0.33333334,0.4928105,0.86274517,0.20392159,0.14483467,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-066-333.png
62,0.45709506,0.4300654,0.3633987,0.5058824,0.8732026,0.15947708,0.12604482,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-068-000.png
63,0.43064734,0.39607844,0.2627451,0.49803922,0.86797386,0.21830067,0.1725512,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-068-090.png
64,0.47471696,0.3385621,0.26143792,0.48235294,0.9124183,0.46535954,0.24039105,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-068-180.png
65,0.45757177,0.41568628,0.2627451,0.48627454,0.854902,0.3137255,0.19651343,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-068-270.png
66,0.4928462,0.46339872,0.44444445,0.5071896,0.9254902,0.111111104,0.096388526,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-090-000.png
67,0.49845755,0.45882353,0.44444445,0.52026147,0.9150327,0.12679735,0.107064925,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-090-022.png
68,0.49071953,0.43398693,0.41830066,0.5058824,0.88366014,0.1777778,0.11931301,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-090-045.png
69,0.45856285,0.38169935,0.3633987,0.4882353,0.8875817,0.21307191,0.14363202,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-090-068.png
70,0.4314635,0.34640524,0.3267974,0.47908497,0.8666667,0.21176466,0.15905456,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-090-090.png
71,0.44958,0.3633987,0.31895426,0.4738562,0.8745098,0.21699348,0.18082613,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-090-112.png
72,0.46773076,0.3869281,0.32287583,0.475817,0.8993464,0.32549015,0.19831888,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-090-135.png
73,0.47736803,0.37908497,0.32156864,0.46601304,0.88496727,0.3699346,0.20978646,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-090-158.png
74,0.480447,0.3764706,0.32026145,0.48366013,0.93071896,0.38039216,0.21491925,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-090-180.png
75,0.48452756,0.40522876,0.31895426,0.47712418,0.9124183,0.37385622,0.2090924,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-090-202.png
76,0.48870286,0.44052288,0.31895426,0.48496732,0.9254902,0.35032675,0.20397997,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-090-225.png
77,0.48153082,0.44705883,0.31895426,0.48758173,0.8941177,0.2901961,0.19500457,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-090-248.png
78,0.46620375,0.41568628,0.32026145,0.48039216,0.89281046,0.24052289,0.18182708,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-090-270.png
79,0.44527954,0.4,0.3267974,0.48300654,0.90588236,0.2013072,0.16052555,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-090-292.png
80,0.47489798,0.44183007,0.3777778,0.48496732,0.9254902,0.16993466,0.13652834,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-090-315.png
81,0.48844463,0.46013072,0.41830066,0.5006536,0.90457517,0.12549022,0.11180321,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-090-338.png
82,0.45150635,0.427451,0.3006536,0.50457513,0.8078431,0.24967322,0.15157601,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-000-000.png
83,0.42082098,0.36862746,0.26797387,0.4803922,0.7803922,0.2392157,0.14339095,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-022-000.png
84,0.4424948,0.40261438,0.39477125,0.4745098,0.71895427,0.1895425,0.12124961,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-022-090.png
85,0.43093568,0.37908497,0.28366014,0.5026144,0.79607844,0.23790851,0.14746399,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-022-180.png
86,0.43652457,0.3934641,0.30457518,0.4679739,0.76601315,0.18823531,0.12950814,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-022-270.png
87,0.4394484,0.38562092,0.3673203,0.5045752,0.73202616,0.18692812,0.12803921,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-035-045.png
88,0.43587565,0.38562092,0.36993465,0.48039216,0.7359477,0.19346407,0.12814996,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-035-135.png
89,0.43707365,0.38431373,0.36601308,0.49542484,0.6928105,0.18431368,0.13489388,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-035-225.png
90,0.42462307,0.36993465,0.36078432,0.46862745,0.75686276,0.19607845,0.1323828,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-035-315.png
91,0.41270268,0.3398693,0.3254902,0.4888889,0.7503268,0.22222218,0.14443932,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-045-000.png
92,0.45985425,0.43398693,0.4366013,0.46928105,0.74771243,0.13856208,0.108105555,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-045-090.png
93,0.42531997,0.35163403,0.3385621,0.49738562,0.7019608,0.21307191,0.14804043,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-045-180.png
94,0.44856367,0.41437912,0.4130719,0.5320262,0.6614379,0.14117643,0.117702276,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-045-270.png
95,0.40897903,0.37124184,0.28496733,0.4647059,0.8248367,0.2261438,0.14695595,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-066-027.png
96,0.43189836,0.43137255,0.2901961,0.45555556,0.7856209,0.21699348,0.13740097,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-066-063.png
97,0.4296662,0.4261438,0.28496733,0.46732026,0.82222223,0.22483662,0.13770168,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-066-117.png
98,0.41294807,0.3673203,0.28366014,0.4496732,0.80522877,0.24052289,0.15235835,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-066-153.png
99,0.4133588,0.37254906,0.27450982,0.4797386,0.87843144,0.23137257,0.15631045,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-066-207.png
100,0.42518145,0.41830066,0.27058825,0.47712418,0.8261438,0.2261438,0.14727023,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-066-243.png
101,0.41004908,0.39869285,0.2653595,0.46013075,0.833987,0.23790851,0.14636947,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-066-297.png
102,0.40316397,0.35686275,0.27973858,0.45816994,0.83006537,0.2444444,0.15164267,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-066-333.png
103,0.4005094,0.34248367,0.2875817,0.4614379,0.8287582,0.23267975,0.15240823,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-068-000.png
104,0.43516573,0.43529415,0.29281047,0.46797386,0.8026144,0.21307191,0.13380402,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-068-090.png
105,0.40956146,0.34901962,0.2875817,0.45816994,0.8352941,0.23790851,0.15962178,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-068-180.png
106,0.42307374,0.4130719,0.26928106,0.4732026,0.85228753,0.23006532,0.14757258,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-068-270.png
107,0.42385212,0.36862746,0.3633987,0.46339872,0.87712425,0.12287581,0.13623174,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-090-000.png
108,0.43411234,0.37908497,0.36993465,0.4875817,0.92026144,0.14640522,0.13740015,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-090-022.png
109,0.4426719,0.37908497,0.36993465,0.46797386,0.8784314,0.19215688,0.14190882,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-090-045.png
110,0.44547904,0.38169935,0.36862746,0.4803922,0.9084968,0.21307188,0.14363302,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-090-068.png
111,0.44980434,0.39215687,0.36862746,0.4640523,0.875817,0.21437904,0.14283305,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-090-090.png
112,0.4492245,0.38431373,0.36601308,0.45686275,0.84313726,0.2013072,0.14165977,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-090-112.png
113,0.4407695,0.38300654,0.3647059,0.4529412,0.83790857,0.16732022,0.14046173,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-090-135.png
114,0.43168452,0.3673203,0.35555556,0.4614379,0.84444445,0.15555552,0.14494807,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-090-158.png
115,0.43051195,0.36601308,0.35555556,0.45620915,0.85751635,0.15947711,0.14829697,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-090-180.png
116,0.43278226,0.38169935,0.34771243,0.4862745,0.92026144,0.1568628,0.1477856,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-090-202.png
117,0.44403777,0.40653595,0.34771243,0.46209148,0.8928104,0.20000002,0.14943942,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-090-225.png
118,0.45073932,0.41176474,0.34771243,0.45424837,0.8849673,0.22091499,0.1513251,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-090-248.png
119,0.4457168,0.40653595,0.34771243,0.46535948,0.9098039,0.21437907,0.14923233,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-090-270.png
120,0.44070804,0.3895425,0.34901962,0.46470588,0.9163399,0.19999999,0.14724015,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-090-292.png
121,0.43054768,0.36862746,0.35163403,0.45294118,0.8849673,0.16339865,0.14129919,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-090-315.png
122,0.4261837,0.36601308,0.35947713,0.4620915,0.8875817,0.12941179,0.13814087,D:/Projects/Python/data-mining/Dataset/TrainData\apple3-090-338.png
123,0.46873423,0.4,0.27058825,0.5071896,0.7869281,0.37908497,0.19363882,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-000-000.png
124,0.459454,0.3529412,0.25620916,0.5130719,0.7254902,0.39607844,0.20194624,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-022-000.png
125,0.48635486,0.38431373,0.3647059,0.5013072,0.75686276,0.35032675,0.18895519,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-022-090.png
126,0.4572966,0.34640527,0.25620916,0.51830065,0.7777778,0.39999995,0.20917073,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-022-180.png
127,0.4817459,0.38169935,0.37124184,0.5091503,0.79607844,0.34509805,0.18382849,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-022-270.png
128,0.48015264,0.36078432,0.34509805,0.54575163,0.66274506,0.351634,0.19338737,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-035-045.png
129,0.47334763,0.35686278,0.34771243,0.5176471,0.7267974,0.35947713,0.19877476,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-035-135.png
130,0.47020298,0.35686278,0.34901962,0.5352941,0.751634,0.34901956,0.19097029,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-035-225.png
131,0.46383187,0.35163403,0.34379086,0.5163399,0.75294125,0.34379086,0.18733977,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-035-315.png
132,0.4558193,0.32287583,0.31111112,0.53006536,0.7176471,0.3882353,0.20611429,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-045-000.png
133,0.51581174,0.41568628,0.40653595,0.5437909,0.7137255,0.303268,0.17751619,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-045-090.png
134,0.4534485,0.32287583,0.31111112,0.5071896,0.7869281,0.38431373,0.21047784,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-045-180.png
135,0.504113,0.41568628,0.40915036,0.55751634,0.730719,0.29673204,0.17169747,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-045-270.png
136,0.45723513,0.36078432,0.27058825,0.4862745,0.8627451,0.39346406,0.20728362,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-066-027.png
137,0.4856856,0.4300654,0.26928106,0.48104575,0.8627451,0.38169935,0.19839306,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-066-063.png
138,0.47340366,0.41437912,0.27189544,0.49150327,0.8784314,0.3869281,0.20202893,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-066-117.png
139,0.44608796,0.34771243,0.26797387,0.5006536,0.875817,0.3882353,0.20982888,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-066-153.png
140,0.4422207,0.35555556,0.2627451,0.46797386,0.8366013,0.37385622,0.20319423,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-066-207.png
141,0.46689242,0.42352942,0.26797387,0.4843137,0.82745093,0.3764706,0.19464976,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-066-243.png
142,0.4616359,0.40653595,0.26666668,0.4784314,0.8496733,0.38300654,0.19752763,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-066-297.png
143,0.44317868,0.34509805,0.26928106,0.4745098,0.8653595,0.39084968,0.20604396,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-066-333.png
144,0.43344495,0.32026145,0.2640523,0.46862745,0.8535948,0.39084968,0.208627,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-068-000.png
145,0.48265448,0.4405229,0.2653595,0.5058824,0.8392157,0.351634,0.19436945,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-068-090.png
146,0.4303219,0.3254902,0.26666668,0.47320262,0.8653595,0.37124184,0.20751145,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-068-180.png
147,0.46601486,0.4261438,0.26928106,0.49215686,0.8614379,0.37254903,0.1919493,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-068-270.png
148,0.445142,0.34640527,0.32156864,0.46601307,0.88235295,0.28758165,0.18238299,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-090-000.png
149,0.4542622,0.3751634,0.32418302,0.46601307,0.87973857,0.28235295,0.18055348,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-090-022.png
150,0.47185165,0.4300654,0.32287583,0.4666667,0.8941177,0.3019608,0.18217655,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-090-045.png
151,0.48091063,0.46143794,0.32287583,0.47058824,0.9019608,0.30849674,0.18456925,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-090-068.png
152,0.47359598,0.4405229,0.32287583,0.46470588,0.8901961,0.2888889,0.18122742,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-090-090.png
153,0.46609873,0.42745098,0.3254902,0.4862745,0.90457517,0.27450982,0.18094192,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-090-112.png
154,0.4530054,0.38431373,0.32418302,0.48300654,0.87973857,0.2640523,0.17841777,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-090-135.png
155,0.44225696,0.34901962,0.3267974,0.49019608,0.89411765,0.24575165,0.17644359,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-090-158.png
156,0.4333755,0.33594775,0.3254902,0.47777778,0.8745098,0.227451,0.17462245,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-090-180.png
157,0.44005927,0.35816994,0.32418302,0.49607843,0.8901961,0.21960786,0.17220566,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-090-202.png
158,0.45140272,0.4013072,0.32287583,0.475817,0.8522876,0.23267975,0.17471024,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-090-225.png
159,0.46148947,0.41568628,0.32287583,0.48431373,0.8745098,0.24052283,0.17775822,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-090-248.png
160,0.4648278,0.42222223,0.3254902,0.47385618,0.8718954,0.26143792,0.17850134,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-090-270.png
161,0.4621529,0.41960785,0.3254902,0.4745098,0.88104576,0.27058825,0.17909384,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-090-292.png
162,0.45185754,0.38039216,0.32418302,0.46405226,0.8679738,0.26928106,0.1775498,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-090-315.png
163,0.44267547,0.35163403,0.31633988,0.47516337,0.890196,0.27712414,0.17877159,D:/Projects/Python/data-mining/Dataset/TrainData\apple4-090-338.png
164,0.4648551,0.3895425,0.2627451,0.52875817,0.7986928,0.40784308,0.21163486,D:/Projects/Python/data-mining/Dataset/TrainData\apple5-000-000.png
165,0.46429652,0.34771243,0.2509804,0.5562092,0.7359478,0.4039215,0.21193732,D:/Projects/Python/data-mining/Dataset/TrainData\apple5-022-000.png
166,0.47595346,0.39738563,0.31111112,0.56928104,0.6627451,0.2941176,0.16696572,D:/Projects/Python/data-mining/Dataset/TrainData\apple5-022-090.png
167,0.47076246,0.3869281,0.30718955,0.5620915,0.7503268,0.32941177,0.18599021,D:/Projects/Python/data-mining/Dataset/TrainData\apple5-022-180.png
168,0.48203045,0.37908497,0.3647059,0.5764706,0.7424837,0.3503268,0.19636402,D:/Projects/Python/data-mining/Dataset/TrainData\apple5-022-270.png
169,0.45538533,0.35555556,0.34901962,0.5189543,0.7398693,0.33333328,0.18429165,D:/Projects/Python/data-mining/Dataset/TrainData\apple5-035-045.png
170,0.4832116,0.41045752,0.40261438,0.5660131,0.724183,0.2535948,0.16295965,D:/Projects/Python/data-mining/Dataset/TrainData\apple5-035-135.png
171,0.46482858,0.3633987,0.35555556,0.5588235,0.7124183,0.30849674,0.18847175,D:/Projects/Python/data-mining/Dataset/TrainData\apple5-035-225.png
172,0.48212636,0.35686278,0.34771243,0.55751634,0.75686276,0.36862746,0.20531291,D:/Projects/Python/data-mining/Dataset/TrainData\apple5-035-315.png
173,0.4572047,0.3254902,0.3150327,0.54444444,0.80130714,0.38169935,0.2128777,D:/Projects/Python/data-mining/Dataset/TrainData\apple5-045-000.png
174,0.49599987,0.45620918,0.4627451,0.582353,0.69411767,0.2078431,0.14824674,D:/Projects/Python/data-mining/Dataset/TrainData\apple5-045-090.png
175,0.46868175,0.36993465,0.35816994,0.5705883,0.7699347,0.2875817,0.18347858,D:/Projects/Python/data-mining/Dataset/TrainData\apple5-045-180.png
